version,filename,header,obj,endobj,stream,endstream,xref,trailer,startxref,/Page,/Encrypt,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24,/JavaScript_hexcode_count,/RichMedia_hexcode_count,/EmbeddedFile_hexcode_count,/ObjStm_hexcode_count,/Encrypt_hexcode_count,/OpenAction_hexcode_count,/Page_hexcode_count,/JS_hexcode_count,/AcroForm_hexcode_count,/XFA_hexcode_count,/Launch_hexcode_count,/JBIG2Decode_hexcode_count,/AA_hexcode_count,Malware
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0a7e1c42f2075857da3b5139965d8383_208289,%PDF-1.5,50,50,13,13,3,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0a187e505311a2485c44eaf6e502e438_3154254,%PDF-1.4,65,65,21,21,1,1,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0a2472f6f0347d80c6d2cdd6a93275e6_7340318,%PDF-1.4,816,816,394,394,1,1,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0ac2ba3c4f3e5acafca56a096bbba7d5_22585,%PDF-1.3,15,15,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0ae2eb6730bc9a3db4d4871f21f11b70_154502,%PDF-1.7,38,38,12,11,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0b0a54c3e3ae88c742bb4802f696d767_132594,%PDF-1.4,52,52,13,13,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0b1e689407671ddd28f3786f7f65d6c9_335595,%PDF-1.4,13,13,7,7,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0b549026b5d0a74ee3846c4f36013777_133489,%PDF-1.4,52,52,13,13,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0bacd0da20c6b3c3ee069e18610d9969_57490,%PDF-1.4,45,45,11,11,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0c4cd2fa20f151376dfe26df305cadca_266262,%PDF-1.3,24,24,8,8,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0c41d9e4d3743187829875f30baf86fe_172701,%PDF-1.3,53,53,28,26,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0c91db404457882a314eca1ae1a7f8f7_324306,%PDF-1.5,124,124,45,45,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0c9528aa63937831c0c3edcee0f6e1eb_221979,%PDF-1.2,230,230,5,5,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0ca9232b00c9e9f7e0ec1c3e1175e001_434980,%PDF-1.7,11,11,4,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0